Year,Month,Category,Electric,Make,Model,Customer Category,Qty
2022,June,Sports > $200k,FALSE,Porsche,911,Fleet,2
2022,June,Sports > $200k,FALSE,Porsche,911,59 (Unknown),2
2022,June,SUV Light,FALSE,Ford,Puma,Private,1
2022,June,SUV Light,FALSE,Ford,Puma,Not For Profit,6
2022,June,SUV Light,FALSE,Ford,Puma,Fleet,9
2022,June,SUV Light,FALSE,Ford,Puma,59 (Unknown),9
2022,June,SUV Light,FALSE,Hyundai,Venue,Private,51
2022,June,SUV Light,FALSE,Hyundai,Venue,Government - State,5
2022,June,SUV Light,FALSE,Hyundai,Venue,Rental,37
2022,June,SUV Light,FALSE,Hyundai,Venue,Fleet,1
2022,June,SUV Light,FALSE,Hyundai,Venue,59 (Unknown),1
2022,June,SUV Light,FALSE,Kia,Stonic,Private,37
2022,June,SUV Light,FALSE,Kia,Stonic,Rental,57
2022,June,SUV Light,FALSE,Kia,Stonic,Fleet,3
2022,June,SUV Light,FALSE,Kia,Stonic,59 (Unknown),2
2022,June,SUV Light,FALSE,Mazda,CX-3,Private,71
2022,June,SUV Light,FALSE,Mazda,CX-3,Fleet,12
2022,June,SUV Light,FALSE,Mazda,CX-3,59 (Unknown),4
2022,June,SUV Light,FALSE,Nissan,Juke,Private,7
2022,June,SUV Light,FALSE,Nissan,Juke,Fleet - Large,1
2022,June,SUV Light,FALSE,Nissan,Juke,Fleet,5
2022,June,SUV Light,FALSE,Nissan,Juke,59 (Unknown),3
2022,June,SUV Light,FALSE,Renault,Captur,Private,6
2022,June,SUV Light,FALSE,Renault,Captur,Fleet,4
2022,June,SUV Light,FALSE,Renault,Captur,59 (Unknown),4
2022,June,SUV Light,FALSE,Suzuki,Ignis,Private,7
2022,June,SUV Light,FALSE,Suzuki,Ignis,Fleet,2
2022,June,SUV Light,FALSE,Suzuki,Ignis,59 (Unknown),1
2022,June,SUV Light,FALSE,Suzuki,Jimny,Private,14
2022,June,SUV Light,FALSE,Suzuki,Jimny,Fleet,4
2022,June,SUV Light,FALSE,Suzuki,Jimny,59 (Unknown),2
2022,June,SUV Light,FALSE,Toyota,Yaris Cross,Private,42
2022,June,SUV Light,FALSE,Toyota,Yaris Cross,Rental,10
2022,June,SUV Light,FALSE,Toyota,Yaris Cross,Not For Profit,3
2022,June,SUV Light,FALSE,Toyota,Yaris Cross,Fleet - Large,1
2022,June,SUV Light,FALSE,Toyota,Yaris Cross,Fleet,9
2022,June,SUV Light,FALSE,Volkswagen,T-Cross,Private,35
2022,June,SUV Light,FALSE,Volkswagen,T-Cross,Fleet,1
2022,June,SUV Small < $40k,FALSE,GWM,Haval Jolion,Private,71
2022,June,SUV Small < $40k,FALSE,GVM,Haval Jolion,Rental,1
2022,June,SUV Small < $40k,FALSE,GVM,Haval Jolion,Fleet,7
2022,June,SUV Small < $40k,FALSE,GVM,Haval Jolion,59 (Unknown),2
2022,June,SUV Small < $40k,FALSE,Honda,HR-V,Private,52
2022,June,SUV Small < $40k,FALSE,Hyundai,Kona,Private,85
2022,June,SUV Small < $40k,FALSE,Hyundai,Kona,Government - State,12
2022,June,SUV Small < $40k,FALSE,Hyundai,Kona,Government - Local,1
2022,June,SUV Small < $40k,FALSE,Hyundai,Kona,Rental,3
2022,June,SUV Small < $40k,FALSE,Hyundai,Kona,Fleet - Large,1
2022,June,SUV Small < $40k,FALSE,Hyundai,Kona,Fleet,7
2022,June,SUV Small < $40k,FALSE,Hyundai,kona,59 (Unknown),2
2022,June,SUV Small < $40k,FALSE,Jeep,Compass,Private,3
2022,June,SUV Small < $40k,FALSE,Jeep,Compass,Fleet,22
2022,June,SUV Small < $40k,FALSE,Jeep,Compass,59 (Unknown),21
2022,June,SUV Small < $40k,FALSE,Kia,Niro,Private,4
2022,June,SUV Small < $40k,TRUE,Kia,Niro,Fleet,2
2022,June,SUV Small < $40k,TRUE,Kia,Niro,59 (Unknown),2
2022,June,SUV Small < $40k,FALSE,Kia,Seltos,Private,69
2022,June,SUV Small < $40k,FALSE,Kia,Seltos,Fleet,4
2022,June,SUV Small < $40k,FALSE,Mazda,CX-30,Private,102
